"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2019,121007814,118003738,7,,
2019,120958350,117946521,7,,
2019,120958386,117946560,7,,
2019,120959394,117947704,7,,
2019,120959393,117947704,5,,
2019,121014675,118005617,7,,
2019,121014676,118005618,4,,
2019,121014677,118005620,7,,
2019,121015224,118011228,7,,
2019,121015665,118011757,7,,
2019,121015240,118011250,6,,
2019,121015242,118011252,7,,
2019,121015244,118011253,7,,
2019,121015243,118011253,4,,
2019,121015398,118011439,7,,
2019,121015253,118011266,7,,
2019,121015268,118011286,7,,
2019,121015272,118011290,6,,
2019,121015273,118011291,4,,
2019,121015280,118011300,7,,
2019,121015302,118011322,6,,
2019,121015303,118011323,6,,
2019,121015304,118011324,6,,
2019,121015305,118011325,6,,
2019,121015306,118011326,6,,
2019,121015308,118011328,6,,
2019,121015316,118011338,4,,
2019,121015397,118011438,7,,
2019,121015702,118011820,4,,
2019,121118653,118135924,4,,
2019,121165632,118178968,7,,
2019,121165635,118178972,1,,
2019,121165636,118178972,6,,
2019,121167844,118191449,7,,
2019,121167843,118191449,4,,
2019,122820856,120078051,7,,
2019,123001147,120312683,7,1,
2019,123001201,120312747,7,,
2019,124202272,121706177,6,,
2019,124202273,121706178,1,,
2019,124202274,121706178,6,,
2019,124202275,121706179,6,,
2019,124202294,121706204,7,,
2019,123001402,120312983,7,,
2019,123001407,120312988,7,,
2019,124202296,121706206,6,,
2019,123001459,120313056,6,,
2019,123001461,120313060,7,,
2019,124202353,121706291,6,,
2019,123001479,120313096,7,,
2019,123001489,120313110,5,,
2019,123001490,120313110,7,,
2019,123001492,120313111,7,,
2019,123001491,120313111,5,,
2019,124202336,121706276,6,,
2019,123001565,120313195,7,,
2019,124202349,121706287,7,,
2019,123001634,120321136,7,,
2019,121165675,118179014,6,,
2019,122975166,120241698,7,,
2019,126080470,123424487,7,,
2019,126080481,123424498,6,,
2019,123001359,120312922,7,,
2019,123001564,120313194,7,,
2019,123001715,120321218,5,,
2019,123001716,120321218,7,,
2019,120989582,117973274,6,,
2019,121781519,118874375,7,1,
2019,121781593,118874475,5,,
2019,121781594,118874475,7,,
2019,121781619,118874508,6,,
2019,121781620,118874509,6,,
2019,121781667,118874561,7,,
2019,121781670,118874564,6,,
2019,121781671,118874565,4,,
2019,121781672,118874566,7,,
2019,121781677,118874572,7,,
2019,121781679,118874573,7,,
2019,121781678,118874573,4,,
2019,121781698,118874597,7,,
2019,121781703,118874601,7,,
2019,121781702,118874601,5,,
2019,121781704,118874602,7,,
2019,121781723,118874621,6,,
2019,121781737,118874644,7,,
2019,121781831,118874750,4,,
2019,121781920,118874841,1,,
2019,121781922,118874844,5,,
2019,121781923,118874844,7,,
2019,122859855,120116636,7,,
2019,122859857,120116637,7,,
2019,122859856,120116637,6,,
2019,122859864,120116644,6,,
2019,122859914,120116714,7,,
2019,122859917,120116718,7,,
2019,122859924,120116727,6,,
2019,122937768,120204031,7,,
2019,122975161,120241694,7,,
2019,121053602,118060639,6,,
2019,121099031,118114515,1,,
2019,121098969,118114427,7,2,
2019,121099029,118114513,7,,
2019,121099030,118114514,7,,
2019,121099032,118114516,1,,
2019,121099078,118114584,7,,
2019,121099304,118114857,7,,
2019,121099120,118114631,7,1,
2019,121099119,118114631,5,,1
2019,121099121,118114632,7,,
2019,121099122,118114633,6,,
2019,121099313,118114866,7,,
2019,121099312,118114866,5,,
2019,121099130,118114639,6,,
2019,121101294,118122001,1,,
2019,121145054,118157958,7,1,
2019,121145111,118158066,7,,
2019,121118674,118135950,7,,
2019,121101732,118122554,7,,
2019,121145056,118157960,7,,
2019,121109608,118131101,6,,
2019,121165850,118179215,7,1,
2019,121145058,118157962,4,,
2019,121145059,118157963,7,,
2019,121165958,118179334,7,,
2019,121145167,118158132,4,,
2019,121165986,118179359,4,,
2019,121165987,118179359,7,,
2019,121168536,118192155,3,,
2019,121169031,118192634,4,,
2019,121169056,118192657,7,,
2019,121169064,118192665,6,,
2019,120887704,117857688,8,,
2019,120887730,117857722,4,,
2019,120888261,117858369,7,,
2019,120956536,117929459,4,,
2019,120958819,117947054,4,,
2019,120958818,117947054,1,,
2019,122131209,119273112,7,,
2019,122195324,119353234,6,,
2019,122362279,119544520,7,,
2019,122235161,119394700,6,,
2019,121015773,118011909,7,1,
2019,121016054,118012225,7,,
2019,121015802,118011945,4,,
2019,121015818,118011966,7,,
2019,121015823,118011971,7,,
2019,121015824,118011972,7,,
2019,121015827,118011976,7,,
2019,121015844,118011993,1,,
2019,121015974,118012145,7,,
2019,121015973,118012145,5,,
2019,121015982,118012153,4,,
2019,121015988,118012157,1,,
2019,121016025,118012191,4,,
2019,121016045,118012216,7,,
2019,121016357,118012625,7,,
2019,121016061,118012231,7,,
2019,121016687,118013053,4,,
2019,121016417,118012698,1,,
2019,121016643,118012996,7,,
2019,121016453,118012747,4,,
2019,121035316,118042075,7,1,
2019,121016620,118012967,7,1,
2019,121016644,118012997,7,,
2019,121035134,118041807,7,,
2019,121035137,118041810,7,,
2019,121035138,118041812,7,1,
2019,121035139,118041813,7,,
2019,121035319,118042079,2,,
2019,121035141,118041818,7,,
2019,121035323,118042085,7,1,
2019,121035324,118042086,7,,
2019,121035369,118042134,4,,
2019,121035370,118042135,4,,
2019,121035384,118042151,7,,
2019,121035389,118042156,7,,
2019,121035388,118042156,5,,
2019,121037627,118044463,7,,
2019,122860377,120117205,6,,
2019,122860376,120117205,1,,
2019,122978932,120245773,1,,
2019,122979315,120246168,7,,
2019,122979400,120246278,7,,
2019,122981524,120248471,6,,
2019,122860268,120117075,1,,
2019,122860279,120117091,1,,
2019,122860280,120117091,5,,
2019,122860380,120117210,7,,
2019,121008875,118004814,7,,
2019,121015133,118011126,4,,
2019,121016467,118012763,7,,
2019,121101726,118122546,7,,
2019,121015325,118011348,7,,
2019,121015990,118012159,7,,
2019,121015382,118011421,7,,
2019,121015720,118011843,7,,
2019,121015352,118011377,7,,
2019,121015380,118011419,7,,
2019,121015386,118011425,7,,
2019,121015409,118011451,7,,
2019,121015411,118011453,7,,
2019,121035178,118041875,6,,
2019,121015716,118011839,7,1,
2019,121015803,118011949,7,,
2019,121015797,118011936,4,,
2019,121015798,118011937,7,,
2019,121015804,118011950,7,,
2019,121015806,118011951,7,,
2019,121015805,118011951,4,,
2019,121015813,118011959,4,,
2019,121015814,118011962,4,,
2019,121015815,118011963,7,,
2019,121015874,118012032,4,,
2019,121015884,118012046,7,,
2019,121015885,118012047,7,,
2019,121015886,118012048,7,,
2019,121015913,118012077,7,,
2019,121015914,118012078,4,,
2019,121016029,118012197,7,,
2019,121101779,118122638,7,,
2019,121016355,118012623,4,,
2019,121016359,118012627,7,,
2019,121035210,118041918,6,,
2019,121016613,118012959,7,1,
2019,121016614,118012960,4,,
2019,121016658,118013012,7,0,
2019,121118648,118135916,7,,
2019,121035211,118041918,7,1,
2019,121145047,118157949,6,,
2019,121114580,118131116,1,,
2019,121118673,118135948,7,,
2019,121035237,118041953,7,,
2019,121114586,118131122,7,,
2019,121145060,118157964,4,,
2019,121145197,118158172,7,,
2019,121145212,118158188,6,,
2019,121145213,118158189,7,,
2019,121145220,118158197,7,,
2019,121145221,118158198,1,,
2019,121145228,118158204,6,,
2019,121145239,118158215,6,,
2019,121145240,118158216,6,,
2019,121145256,118158235,7,,
2019,121145325,118158316,7,,
2019,122860383,120117215,6,,
2019,122860384,120117216,4,,
2019,124995057,122581362,7,,
2019,123556863,120953261,4,,
2019,123556864,120953262,4,,
2019,123556963,120953370,6,,
2019,123556964,120953370,7,,
2019,122975830,120242366,7,,
2019,122978821,120245642,7,,
2019,122978832,120245656,6,,
2019,122981627,120248583,1,,
2019,122981628,120248583,6,,
2019,122981692,120248654,1,,
2019,123047646,120367375,6,,
2019,121015965,118012136,3,,
2019,121015235,118011242,1,,
2019,121015370,118011401,7,,
2019,121015966,118012136,6,,
2019,121015923,118012088,6,,
2019,121016055,118012226,7,,
2019,121016338,118012609,7,,
2019,122990518,120262070,7,,
2019,123168247,120526176,6,,
2019,123168263,120526189,7,,
2019,123168261,120526189,4,,
2019,123168262,120526189,5,,
2019,123168264,120526190,4,,
2019,121053619,118060656,7,,
2019,122129590,119271123,7,,
2019,122129592,119271125,4,,
2019,122129706,119271330,6,,
2019,122130771,119272588,6,,
2019,122129844,119271513,4,,
2019,122129847,119271515,7,,
2019,122129849,119271517,4,,
2019,122129861,119271527,7,,
2019,122130678,119272476,7,,
2019,122130681,119272479,7,,
2019,122130682,119272482,7,,
2019,122130685,119272488,7,,
2019,122130684,119272488,5,,
2019,122130749,119272565,7,,
2019,122130776,119272592,7,,
2019,122130853,119272688,4,,
2019,122130896,119272755,1,,
2019,122130934,119272810,7,,
2019,122130938,119272815,7,,
2019,122130943,119272821,7,,
2019,122130946,119272825,6,,
2019,122130948,119272827,6,,
2019,122130952,119272829,7,,
2019,122130965,119272849,4,,
2019,122130966,119272849,7,,
2019,122130968,119272853,7,,
2019,122130972,119272858,7,,
2019,122130976,119272862,7,,
2019,122130978,119272866,7,,
2019,122130980,119272868,6,,
2019,122131069,119272957,7,,
2019,122131068,119272957,5,,
2019,122131072,119272959,7,,
2019,122131077,119272967,7,,
2019,122131076,119272967,5,,
2019,122131081,119272970,7,,
2019,122131084,119272974,4,,
2019,122131155,119273048,5,,
2019,122131156,119273048,7,,
2019,122131157,119273049,7,1,
2019,122131163,119273054,7,,
2019,122853768,120115586,6,,
2019,122854569,120116296,7,,
2019,122854568,120116296,6,,
2019,122854570,120116298,5,,
2019,122854571,120116298,7,,
2019,122859584,120116311,7,,
2019,122859583,120116311,6,,
2019,122859587,120116316,4,,
2019,122859666,120116420,6,,
2019,122859674,120116433,1,,
2019,122859675,120116433,6,,
2019,122859695,120116456,7,,
2019,122859696,120116458,7,,
2019,123168241,120526169,7,,
2019,121007354,118003283,7,1,
2019,121015811,118011957,7,,
