"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39314215,127142022,1,31-JUL-20,1,"N",51,5,29,"F",1,,"","","",29,0
2020,39314216,127142027,1,23-JUL-20,1,"N",16,5,26,"M",1,2,"U","","",26,0
2020,39158258,126645682,1,19-JUL-20,1,"N",51,5,23,"M",1,1,"R","","",23,0
2020,37368228,121934389,1,27-FEB-20,3,"N",23,5,24,"F",1,3,"","","",24,0
2020,37368229,121934391,1,29-FEB-20,3,"N",51,5,15,"M",2,3,"","R","",15,0
2020,37368232,121934396,1,20-JAN-20,2,"C",23,5,36,"F",1,2,"","","",36,0
2020,37368250,121934450,1,10-MAR-20,3,"N",16,5,44,"M",2,3,"R","","",44,0
2020,37039533,121026178,1,14-FEB-20,1,"N",35,5,34,"F",0,,"","","",34,0
2020,36652615,120011963,1,23-JAN-20,1,"N",16,5,36,"M",1,2,"N","","",36,0
2020,40969662,132505018,1,19-NOV-20,1,"N",51,5,24,"M",1,2,"N","","",24,0
2020,39175697,126695612,1,27-JUL-20,2,"N",27,5,20,"M",2,2,"R","","",20,0
2020,39353712,127254123,1,01-AUG-20,1,"N",49,5,35,"M",1,1,"R","","",35,0
2020,39353724,127254192,1,28-JUL-20,1,"N",27,5,27,"M",2,3,"R","","",27,0
2020,36774951,120317948,1,07-FEB-20,2,"N",16,5,40,"F",2,,"R","","",40,0
2020,36774970,120318011,3,05-FEB-20,1,"N",16,5,54,"M",2,,"R","","",54,0
2020,36774969,120318011,2,05-FEB-20,1,"N",16,5,55,"M",2,2,"R","","",55,0
2020,37039557,121026228,2,04-FEB-20,2,"N",16,5,18,"M",2,3,"U","","",18,0
2020,37039556,121026228,1,04-FEB-20,2,"N",16,5,16,"M",1,3,"U","R","",16,0
2020,37039609,121026323,1,15-FEB-20,2,"N",45,5,64,"M",2,2,"R","","",64,0
2020,38475362,124385413,1,25-MAY-20,3,"N",36,5,19,"M",1,2,"R","","",19,0
2020,38475342,124385339,1,29-MAR-20,3,"N",49,5,55,"M",1,2,"N","","",55,0
2020,38475343,124385339,2,29-MAR-20,3,"N",49,5,28,"M",1,2,"N","","",28,0
2020,38475361,124385390,1,24-MAY-20,2,"N",51,5,24,"F",1,,"N","","",24,0
2020,38475365,124385431,1,25-MAY-20,1,"N",35,5,18,"F",0,,"","","",18,0
2020,38475366,124385431,2,25-MAY-20,1,"N",35,5,20,"M",0,,"","","",20,0
2020,38475367,124385432,1,20-MAY-20,1,"N",16,5,15,"M",0,,"","R","",15,0
2020,37039509,121026107,1,18-FEB-20,3,"N",46,5,52,"M",1,2,"R","","",52,0
2020,37039535,121026179,2,19-FEB-20,1,"N",16,5,29,"M",0,,"","","",29,0
2020,36840197,120520057,1,07-FEB-20,1,"N",51,5,30,"M",2,2,"R","","",30,0
2020,39157950,126645216,1,24-JUN-20,1,"N",27,5,19,"F",1,,"R","","",19,0
2020,38196222,123445701,1,31-MAR-20,2,"N",16,5,30,"M",1,2,"R","","",30,0
2020,38196232,123445738,1,07-APR-20,1,"N",51,5,43,"M",1,2,"","","",43,0
2020,36354622,119138423,1,04-JAN-20,1,"N",56,5,25,"M",0,3,"R","","",25,0
2020,36354676,119138524,1,05-JAN-20,1,"N",21,5,51,"M",1,2,"N","","",51,0
2020,36354678,119138527,1,06-JAN-20,1,"N",28,5,23,"M",2,3,"U","","",23,0
2020,40280486,130209193,1,12-OCT-20,2,"N",23,5,24,"F",2,3,"N","","",24,0
2020,40280488,130209195,1,19-OCT-20,2,"N",16,5,15,"M",1,3,"R","R","",15,0
2020,40280489,130209196,1,17-AUG-20,1,"N",16,5,36,"M",1,2,"R","","",36,0
2020,40280492,130209214,1,17-OCT-20,3,"N",40,5,30,"M",3,3,"U","","",30,0
2020,41179186,133345239,1,17-MAY-20,3,"N",16,5,35,"F",0,3,"R","","",35,0
2020,41179187,133345251,1,19-JUN-20,3,"N",21,5,16,"M",0,3,"R","R","",16,0
2020,41179191,133345266,1,09-AUG-20,3,"N",16,5,24,"M",3,1,"U","","",24,0
2020,41179211,133351164,1,15-NOV-20,3,"N",29,5,53,"M",0,3,"N","","",53,0
2020,39189996,126747248,1,29-JUL-20,2,"N",35,5,18,"M",1,3,"N","","",18,0
2020,38703195,125204973,1,24-JUN-20,2,"N",23,5,21,"M",1,3,"R","","",21,0
2020,39190001,126747254,1,11-JUL-20,2,"N",51,5,76,"M",2,3,"R","","",76,0
2020,37490143,122246489,1,19-FEB-20,1,"N",40,5,18,"F",2,2,"R","","",18,0
2020,37490144,122246489,2,19-FEB-20,1,"N",40,5,21,"M",2,2,"R","","",21,0
2020,40456878,130791862,1,06-NOV-20,1,"N",51,5,53,"M",1,3,"U","","",53,0
2020,36774952,120317948,2,07-FEB-20,2,"N",16,5,30,"M",2,,"R","","",30,0
2020,38171306,123400270,1,17-JAN-20,1,"N",27,5,26,"M",0,,"R","","",26,0
2020,41832541,135431564,1,27-DEC-20,3,"N",51,5,36,"M",2,2,"","","",36,0
2020,39833762,128926317,1,20-SEP-20,3,"N",51,5,45,"M",1,2,"R","","",45,0
2020,39833841,128926821,1,13-SEP-20,2,"N",35,5,18,"M",1,2,"R","","",18,0
2020,39889946,129040716,1,26-SEP-20,1,"N",44,5,31,"M",1,2,"R","","",31,0
2020,39889953,129040722,1,31-JAN-20,2,"N",45,5,26,"M",0,2,"R","","",26,0
2020,39889966,129040738,1,28-FEB-20,2,"N",45,5,16,"M",0,,"N","R","",16,0
2020,36642029,119991524,1,28-JAN-20,2,"N",16,5,19,"M",0,,"N","","",19,0
2020,37010017,120956669,1,03-FEB-20,1,"N",51,5,27,"F",2,3,"R","","",27,0
2020,37010018,120956669,2,03-FEB-20,1,"N",51,5,21,"F",2,3,"R","","",21,0
2020,40484201,130897556,1,24-OCT-20,3,"N",16,5,52,"F",1,2,"R","","",52,0
